forecast_date,location,target,target_end_date,type,quantile,value
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.01,350.99
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.025,367.95
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.05,397.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.1,416.9
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.15,430.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.2,439.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.25,448.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.3,458.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.35,465.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.4,473.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.45,480.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.5,490.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.55,498.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.6,505.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.65,511.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.7,519.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.75,528.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.8,537.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.85,548.0
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.9,561.1
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.95,588.05
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.975,609.05
2022-11-08,01,1 wk ahead inc flu hosp,2022-11-12,quantile,0.99,637.06
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.01,334.97
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.025,394.875
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.05,424.95
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.1,469.9
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.15,500.0
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.2,523.0
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.25,544.75
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.3,564.0
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.35,584.0
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.4,601.6
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.45,622.55
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.5,635.0
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.55,657.45
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.6,678.4
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.65,696.35
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.7,714.3
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.75,741.25
2022-11-08,01,2 wk ahead inc flu hosp,2022-11-19,quantile,0.8,767.0
